rollout_id,mb_idx,rank0_tokens,rank1_tokens,rank2_tokens,rank3_tokens
19,11,7963,8109,9102,8337
19,12,9107,9154,8336,8336
19,13,7534,8845,8336,8336
19,14,8336,8336,8117,7852
19,15,8336,8336,5668,7300
19,16,8293,9005,7667,8793
19,17,6944,7504,8357,9106
19,18,8567,8186,8778,8134
19,19,8052,8492,8317,8387
19,20,5664,5493,5963,8043
19,21,8250,7294,8274,8274
19,22,8274,8274,8274,8447
19,23,8447,8447,8447,8447
19,24,8447,8447,8447,3539
