rollout_id,rank,mb_idx,total_tokens
3,2,18,6556
3,2,19,6727
3,2,20,8052
3,2,21,7207
3,2,22,8290
3,2,23,8314
3,2,24,8314
3,2,25,8613
3,3,0,8369
3,3,1,8237
3,3,2,6954
3,3,3,6612
3,3,4,8988
3,3,5,9180
3,3,6,8304
3,3,7,8304
3,3,8,8327
3,3,9,8327
3,3,10,8003
3,3,11,7169
3,3,12,8451
3,3,13,8293
3,3,14,8293
3,3,15,8495
3,3,16,8495
3,3,17,8445
3,3,18,8445
3,3,19,9045
3,3,20,8320
3,3,21,8290
3,3,22,8314
3,3,23,8314
3,3,24,7299
3,3,25,4263
4,0,0,8301
4,0,1,8301
4,0,2,8298
4,0,3,8298
4,0,4,8327
4,0,5,8327
4,0,6,8343
4,0,7,8343
4,0,8,6421
4,0,9,6518
4,0,10,8297
4,0,11,8297
4,0,12,8333
4,0,13,8333
4,0,14,8418
4,0,15,8418
4,0,16,8339
4,0,17,8339
4,0,18,7012
4,0,19,8748
4,0,20,5404
4,0,21,5024
4,0,22,4886
4,0,23,8314
4,0,24,8314
4,0,25,8305
4,0,26,8305
4,0,27,8453
4,0,28,8453
4,0,29,6019
4,0,30,7818
4,1,0,8301
4,1,1,8301
4,1,2,8298
4,1,3,8298
4,1,4,8327
4,1,5,8327
4,1,6,8343
4,1,7,8343
4,1,8,6972
4,1,9,5033
4,1,10,8615
4,1,11,6164
4,1,12,8297
4,1,13,8297
4,1,14,8297
4,1,15,8333
4,1,16,8333
4,1,17,8418
4,1,18,8418
4,1,19,8339
4,1,20,8339
4,1,21,5643
4,1,22,8314
4,1,23,8314
4,1,24,8305
4,1,25,8305
4,1,26,8453
4,1,27,8453
4,1,28,7607
4,1,29,6419
4,1,30,3066
4,2,0,8301
4,2,1,8301
4,2,2,8298
4,2,3,8298
4,2,4,8327
4,2,5,8327
4,2,6,8343
4,2,7,8343
4,2,8,8297
4,2,9,8297
4,2,10,8333
4,2,11,8333
4,2,12,8418
4,2,13,8418
4,2,14,8339
4,2,15,8339
4,2,16,6355
4,2,17,6809
4,2,18,6128
4,2,19,5338
4,2,20,8716
4,2,21,8314
4,2,22,8314
4,2,23,8305
4,2,24,8305
4,2,25,4896
4,2,26,8453
4,2,27,8453
4,2,28,8286
4,2,29,7332
4,2,30,3930
4,3,0,8301
4,3,1,8301
4,3,2,8298
4,3,3,8298
4,3,4,8327
4,3,5,8327
4,3,6,8343
4,3,7,8343
4,3,8,4921
4,3,9,8297
4,3,10,8333
4,3,11,8333
4,3,12,8418
4,3,13,8418
4,3,14,8339
4,3,15,8339
4,3,16,6849
4,3,17,8561
4,3,18,6459
4,3,19,6181
4,3,20,5430
4,3,21,8314
4,3,22,8314
4,3,23,8305
4,3,24,8305
4,3,25,8303
4,3,26,8453
4,3,27,8453
4,3,28,7056
4,3,29,8286
4,3,30,4037
5,0,0,8552
5,0,1,9072
5,0,2,9015
5,0,3,8948
5,0,4,8426
5,0,5,8426
5,0,6,6768
5,0,7,8365
5,0,8,8365
5,0,9,7432
5,0,10,8291
5,0,11,8382
5,0,12,6318
5,0,13,9131
5,0,14,8336
5,0,15,8736
5,0,16,8311
5,0,17,8373
5,0,18,6298
5,0,19,6563
5,0,20,5372
5,0,21,6128
5,0,22,5597
5,0,23,8373
5,0,24,8373
5,1,0,8967
5,1,1,9168
5,1,2,7336
5,1,3,9120
5,1,4,8426
5,1,5,8426
5,1,6,8907
5,1,7,7617
5,1,8,6301
5,1,9,8365
5,1,10,8365
5,1,11,6217
5,1,12,8382
5,1,13,8382
5,1,14,8382
5,1,15,6095
5,1,16,6152
5,1,17,8311
5,1,18,8311
5,1,19,8311
5,1,20,6606
5,1,21,9019
5,1,22,8373
5,1,23,8373
5,1,24,4038
5,2,0,9142
5,2,1,8426
5,2,2,8426
5,2,3,7205
5,2,4,6211
5,2,5,8365
5,2,6,8365
5,2,7,7466
5,2,8,6216
5,2,9,6622
5,2,10,8382
5,2,11,8382
5,2,12,9114
5,2,13,8964
5,2,14,6047
